filename                                                                nskips    aveImgS  dSdskip            imgNoise  skNoise           tailRatio  darkCurrent
--------------------------------------------------------------------  --------  ---------  ---------------  ----------  --------------  -----------  -------------
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_00.fits         1      5.45   -1 +/- -1             54.81  -1 +/- -1               nan  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_01.fits        25      3.093  -4.4 +/- 3.1          26.8   5.2 +/- 0.014         31570  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_02.fits        25      3.345  -8.5 +/- 6            27.1   5.5 +/- 0.11          31570  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_03.fits        25      3.634  -11 +/- 7.8           27.71  4.9 +/- 0.093         31570  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_04.fits        25      3.811  -14 +/- 9.5           28.86  4.7 +/- 0.05          31570  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_05.fits        25      3.875  -14 +/- 9.8           29.05  4.6 +/- 0.041           nan  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_06.fits        25      3.92   -14 +/- 9.6           29.31  4.7 +/- 0.05            nan  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_07.fits        25      4.194  -12 +/- 8.6           32.71  4.7 +/- 0.049           nan  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_08.fits         1      5.559  -1 +/- -1             60.52  -1 +/- -1               nan  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_09.fits      1000      3.656  0.13 +/- 0.072        60.37  1.8 +/- 0.0082          nan  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_10.fits      4000      2.139  0.22 +/- 0.12         58.34  1.2 +/- 0.011         31560  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_11.fits      2000      2.27   0.075 +/- 0.15        58.47  1.5 +/- 0.019         31560  -1 +/- -1
/home/apiers/Documents/damic/damicm/damicm-image-preproc/Img_20.fits       120      3.134  -0.11 +/- 0.067       27.95  2.7 +/- 0.41            nan  -1 +/- -1
